generation,rank_1,rank_2,swapAccepted
1229000,3,4,0
1230000,1,2,0
1231000,1,2,0
1232000,3,4,0
1233000,2,4,0
1234000,3,4,0
1235000,2,3,0
1236000,1,3,0
1237000,2,3,0
1238000,1,3,0
1239000,1,4,0
1240000,1,4,0
1241000,1,4,0
1242000,1,4,0
1243000,2,4,0
1244000,2,3,0
1245000,1,3,0
1246000,2,4,0
1247000,2,3,0
1248000,1,2,0
1249000,3,4,0
1250000,1,2,0
1251000,3,4,0
1252000,3,4,0
1253000,1,2,0
1254000,2,4,0
1255000,1,2,0
1256000,2,4,0
1257000,1,2,0
1258000,1,2,0
1259000,1,3,0
1260000,1,4,0
1261000,2,4,0
1262000,1,3,0
1263000,3,4,0
1264000,2,4,0
1265000,1,3,0
1266000,2,4,0
1267000,2,3,0
1268000,1,3,0
1269000,3,4,0
1270000,1,2,0
1271000,2,4,0
1272000,1,4,0
1273000,1,4,0
1274000,1,2,0
1275000,1,2,0
1276000,2,4,0
1277000,2,4,0
1278000,3,4,0
1279000,2,4,0
1280000,2,3,0
1281000,3,4,0
1282000,2,4,0
1283000,1,4,0
1284000,1,3,0
1285000,2,3,0
1286000,1,2,0
1287000,3,4,0
1288000,1,3,0
1289000,3,4,0
1290000,2,3,0
1291000,1,4,0
1292000,1,4,0
1293000,1,3,0
1294000,2,4,0
1295000,1,2,0
1296000,1,3,0
1297000,2,4,0
1298000,1,4,0
1299000,1,4,0
1300000,2,4,0
1301000,1,4,0
1302000,1,2,0
1303000,2,3,0
1304000,1,2,0
1305000,2,4,0
1306000,2,3,0
1307000,1,2,0
1308000,1,2,0
1309000,1,4,0
1310000,1,3,0
1311000,1,3,0
1312000,1,2,0
1313000,1,4,0
1314000,3,4,0
1315000,1,3,0
1316000,3,4,0
1317000,2,3,0
1318000,2,3,0
1319000,2,4,0
1320000,1,2,0
1321000,3,4,0
1322000,1,4,0
1323000,1,4,0
1324000,2,3,0
1325000,2,3,0
1326000,3,4,0
1327000,1,2,0
1328000,2,4,0
1329000,2,3,0
1330000,3,4,0
1331000,1,4,0
1332000,2,3,0
1333000,1,4,0
1334000,2,4,0
1335000,2,3,0
1336000,1,4,0
1337000,1,4,0
1338000,2,4,0
1339000,2,4,0
1340000,1,3,0
1341000,1,4,0
1342000,2,4,0
1343000,2,3,0
1344000,1,2,0
1345000,1,4,0
1346000,2,3,0
1347000,2,4,0
1348000,1,3,0
1349000,2,3,0
1350000,1,2,0
1351000,1,3,0
1352000,1,4,0
1353000,1,2,0
1354000,2,3,0
1355000,2,4,0
1356000,1,4,0
1357000,1,3,0
1358000,3,4,0
1359000,1,2,0
1360000,1,2,0
1361000,2,3,0
1362000,2,3,0
1363000,1,4,0
1364000,2,4,0
1365000,2,3,0
1366000,2,4,0
1367000,1,3,0
1368000,2,3,0
1369000,2,4,0
1370000,3,4,0
1371000,2,3,0
1372000,1,3,0
1373000,2,3,0
1374000,2,3,0
1375000,2,4,0
1376000,2,3,0
1377000,3,4,0
1378000,1,2,0
1379000,1,4,0
1380000,1,2,0
1381000,1,2,0
1382000,1,3,0
1383000,1,2,0
1384000,3,4,0
1385000,1,2,0
1386000,3,4,0
1387000,3,4,0
1388000,1,3,0
1389000,3,4,0
1390000,2,3,0
1391000,2,4,0
1392000,1,4,0
1393000,3,4,0
1394000,1,3,0
1395000,1,3,0
1396000,1,3,0
1397000,2,3,0
1398000,3,4,0
1399000,3,4,0
1400000,2,4,0
1401000,1,4,0
1402000,3,4,0
1403000,3,4,0
1404000,2,4,0
1405000,1,4,0
1406000,2,4,0
1407000,3,4,0
1408000,2,4,0
1409000,3,4,0
1410000,2,3,0
1411000,1,3,0
1412000,2,4,0
1413000,1,4,0
1414000,2,4,0
1415000,1,2,0
1416000,2,4,0
1417000,2,4,0
1418000,3,4,0
1419000,1,4,0
1420000,1,3,0
1421000,1,3,0
1422000,3,4,0
1423000,1,4,0
1424000,1,3,0
1425000,1,2,0
1426000,2,4,0
1427000,1,4,0
1428000,3,4,0
1429000,1,4,0
1430000,3,4,0
1431000,1,2,0
1432000,3,4,0
1433000,1,2,0
1434000,1,3,0
1435000,1,3,0
1436000,1,4,0
1437000,3,4,0
1438000,1,3,0
1439000,2,3,0
1440000,1,3,0
1441000,1,4,0
1442000,2,4,0
1443000,2,4,0
1444000,3,4,0
1445000,2,4,0
1446000,2,3,0
1447000,2,4,0
1448000,1,2,0
1449000,2,4,0
1450000,1,2,0
1451000,3,4,0
1452000,1,4,0
1453000,1,3,0
1454000,1,4,0
1455000,1,4,0
1456000,1,4,0
1457000,2,3,0
